state_fips,state_name,year,threshold_type,threshold_weeks,threshold_grams,logic,source_document,notes
47,Tennessee,2006,grams_only,,500,NA,2006FetalUserGuide Table A,If weight unknown 22 completed weeks
47,Tennessee,2014,weeks_or_grams,20,350,OR,2014FetalUserGuide Table C,
47,Tennessee,2022,weeks_or_grams,20,350,OR,2022FetalUserGuide Table A,
47,Tennessee,2023,weeks_or_grams,20,350,OR,2023FetalUserGuide Table A,
48,Texas,1997,weeks_only,20,,NA,Kowaleski 1997,
48,Texas,2006,weeks_only,20,,NA,2006FetalUserGuide Table A,
48,Texas,2014,weeks_only,20,,NA,2014FetalUserGuide Table C,
48,Texas,2022,weeks_only,20,,NA,2022FetalUserGuide Table A,
48,Texas,2023,weeks_only,20,,NA,2023FetalUserGuide Table A,
49,Utah,1997,weeks_only,20,,NA,Kowaleski 1997,
49,Utah,2006,weeks_only,20,,NA,2006FetalUserGuide Table A,
49,Utah,2014,weeks_only,20,,NA,2014FetalUserGuide Table C,
49,Utah,2022,weeks_only,20,,NA,2022FetalUserGuide Table A,
49,Utah,2023,weeks_only,20,,NA,2023FetalUserGuide Table A,
50,Vermont,1997,weeks_only,20,,NA,Kowaleski 1997,If gestational age unknown weight 400g or 15oz+
50,Vermont,2006,weeks_or_grams,20,400,OR,2006FetalUserGuide Table A,If gestational age unknown weight of 400g or more
50,Vermont,2014,weeks_or_grams,20,400,OR,2014FetalUserGuide Table C,If gestational age unknown weight of 400g or more
50,Vermont,2022,weeks_or_grams,20,400,OR,2022FetalUserGuide Table A,If gestational age unknown weight of 400g or more
50,Vermont,2023,weeks_or_grams,20,400,OR,2023FetalUserGuide Table A,If gestational age unknown weight of 400g or more
51,Virginia,1997,all_periods,0,,NA,Kowaleski 1997,All products of human conception
51,Virginia,2006,all_periods,0,,NA,2006FetalUserGuide Table A,
51,Virginia,2014,all_periods,0,,NA,2014FetalUserGuide Table C,
51,Virginia,2022,all_periods,0,,NA,2022FetalUserGuide Table A,
51,Virginia,2023,all_periods,0,,NA,2023FetalUserGuide Table A,
53,Washington,1997,weeks_only,20,,NA,Kowaleski 1997,
53,Washington,2006,weeks_only,20,,NA,2006FetalUserGuide Table A,
53,Washington,2014,weeks_only,20,,NA,2014FetalUserGuide Table C,
53,Washington,2022,weeks_only,20,,NA,2022FetalUserGuide Table A,
53,Washington,2023,weeks_only,20,,NA,2023FetalUserGuide Table A,
54,West Virginia,1997,weeks_only,20,,NA,Kowaleski 1997,
54,West Virginia,2006,weeks_only,20,,NA,2006FetalUserGuide Table A,
54,West Virginia,2014,weeks_only,20,,NA,2014FetalUserGuide Table C,
54,West Virginia,2022,weeks_only,20,,NA,2022FetalUserGuide Table A,
54,West Virginia,2023,weeks_only,20,,NA,2023FetalUserGuide Table A,
55,Wisconsin,1997,weeks_or_grams,20,350,OR,Kowaleski 1997,
55,Wisconsin,2006,weeks_or_grams,20,350,OR,2006FetalUserGuide Table A,
55,Wisconsin,2014,weeks_or_grams,20,350,OR,2014FetalUserGuide Table C,
55,Wisconsin,2022,weeks_or_grams,20,350,OR,2022FetalUserGuide Table A,
55,Wisconsin,2023,weeks_or_grams,20,350,OR,2023FetalUserGuide Table A,
56,Wyoming,1997,weeks_only,20,,NA,Kowaleski 1997,
56,Wyoming,2006,weeks_only,20,,NA,2006FetalUserGuide Table A,
56,Wyoming,2014,weeks_only,20,,NA,2014FetalUserGuide Table C,
56,Wyoming,2022,weeks_only,20,,NA,2022FetalUserGuide Table A,
56,Wyoming,2023,weeks_only,20,,NA,2023FetalUserGuide Table A,
